symbol	Central_memory	Effector_memory	Gamma_delta	CD4_naive	NKT	Cytotoxic	nTreg	Th1	Th2	Exhausted	iTreg	CD8_naive	MAIT	Th17	Tr1	Tfh	Bcell	NK	Monocyte	Macrophage	DC	Neutrophil	CD8_T	CD4_T
CIB2	5.936437476	5.913028449	5.977067197	5.965133555	5.959359281	6.080939053	5.967446904	5.998277042	5.878965135	5.987860756	5.961874438	6.030536939	6.033981685	6.020146739	6.17489678	5.969529592	6.027171248	5.901082232	5.984585203	5.848741739	5.927823658	6.217894168	5.143218838	5.438874471
CIC	7.745087872	7.650158702	7.789407812	7.950547707	7.909542352	7.85402527	7.612007239	7.900100829	7.626424769	7.707929805	7.666699067	7.886856666	7.953108467	7.83794966	7.494405984	7.668049765	7.829143876	7.945965413	7.979311713	7.6523761	7.6632073	7.733120005	6.679231466	7.021445765
CIDEA	5.506000265	5.534775099	5.632491119	5.591281536	5.564318591	5.65410036	5.443960609	5.524159115	5.56006453	5.548656606	5.586845248	5.613020335	5.577806084	5.507977694	5.645342518	5.495683161	5.701198251	5.497780714	5.461739604	5.45713841	5.511229437	6.0906402	4.776455236	5.036810544
CIDEB	7.677447497	7.84049065	7.609899441	7.661330012	7.967364104	7.717474478	7.674227309	7.715870996	7.593524002	7.800072027	7.884788705	7.325027499	7.781296572	7.846378851	7.530904246	8.535953307	7.785461596	7.720089141	8.627847762	7.212177868	7.274899239	8.163155679	6.569162287	7.115240286
CIDEC	6.749340277	6.951035142	6.793995523	6.857007265	6.73257102	6.96474227	6.973608437	6.771713679	6.782238452	6.813588015	6.566420586	6.722094384	6.88042373	6.928633511	6.846877291	6.838112786	7.447042188	6.465339644	6.820575308	6.769347589	6.854678834	7.314874734	5.889140402	6.188166869
CIITA	5.80548814	6.212419733	5.939561507	5.508409492	5.665191522	6.273756218	6.302857677	5.848894521	5.719778839	5.811125997	5.84611998	5.334707389	5.829407908	5.802618046	6.947141467	6.092208752	6.917791735	5.108911519	6.117217596	5.664007817	5.970770026	5.375639542	5.051743747	5.497993774
CILP	5.816230985	5.93193593	6.05158074	6.039436576	5.905229043	5.985815001	6.090241382	5.847285738	5.836354551	5.951498818	5.681290926	6.03368708	5.951691265	5.884933034	6.557251795	5.958937365	6.689725883	5.595816686	5.876141326	5.772828577	5.848390268	6.347530298	5.110671062	5.421167198
CINP	5.85888268	5.978018813	5.916916166	5.832462618	5.848293148	5.929401703	5.991603524	5.894855136	5.800233006	5.817536033	6.035965969	5.849487786	5.813424166	5.894855136	5.645177396	6.057729679	5.544355079	5.700256244	5.957681672	6.020697682	5.866404435	5.828333375	5.044623221	5.349155731
CIR1	8.025563959	7.979278002	7.6732421	7.914660428	8.026227148	8.298964697	7.672245747	7.846650655	7.647886543	8.060784875	7.404164161	7.847687553	7.976949723	7.963763746	7.732402066	7.712949429	7.273727142	7.536862733	7.834385563	8.367244423	7.89905597	8.654321645	6.875753457	7.07913441
CIRBP	8.521833819	8.538520159	8.508489416	8.882741258	8.890638121	8.746839646	8.876326352	8.562543442	8.786089411	8.756163267	8.416683977	8.992034385	8.522201413	8.688345543	8.390820144	9.136588185	9.134273822	9.183291249	8.395007094	7.917995381	8.671340096	8.680806234	7.415282074	7.898884581
